,resource_uri,id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,parent_court,appeals_to,date_last_queried
0,https://www.courtlistener.com/api/rest/v4/courts/mdd/,mdd,93,False,,,16,2023-10-02T18:23:44.295800-07:00,True,False,False,240.0,D. Maryland,D. Maryland,"District Court, D. Maryland",https://www.mdd.uscourts.gov/,,,FD,https://www.courtlistener.com/api/rest/v4/courts/usdistct/,[],2025-02-16
1,https://www.courtlistener.com/api/rest/v4/courts/dcd/,dcd,45,True,all,,90,2023-10-02T18:23:43.567234-07:00,True,True,False,200.5,D.D.C.,District of Columbia,"District Court, District of Columbia",http://www.dcd.uscourts.gov/,,,FD,https://www.courtlistener.com/api/rest/v4/courts/usdistct/,[],2025-02-16
2,https://www.courtlistener.com/api/rest/v4/courts/mad/,mad,95,True,"answer,appeal,appeal-cr,charge-cr,cmp,detention-cr,discov,discov-cr,minutes,minute-cr,misc,misc-cr,mot2255,motion,notice,notice-cr,order,order-cr,plea-cr,respm,respm-cr,respoth,service,transfer,transer-cr,trial,trial-cr,waiver",,01,2023-10-02T18:23:44.315348-07:00,True,False,False,240.5,D. Mass.,D. Massachusetts,"District Court, D. Massachusetts",http://www.mad.uscourts.gov/,,,FD,https://www.courtlistener.com/api/rest/v4/courts/usdistct/,[],2025-02-16
3,https://www.courtlistener.com/api/rest/v4/courts/rid/,rid,161,True,all,,03,2023-10-02T18:23:44.823283-07:00,True,False,False,248.5,D.R.I.,D. Rhode Island,"District Court, D. Rhode Island",http://www.rid.uscourts.gov/,,,FD,https://www.courtlistener.com/api/rest/v4/courts/usdistct/,[],2025-02-16
4,https://www.courtlistener.com/api/rest/v4/courts/wawd/,wawd,197,True,all,,81,2023-10-02T18:23:45.119216-07:00,True,False,False,290.0,W.D. Wash.,W.D. Washington,"District Court, W.D. Washington",http://www.wawd.uscourts.gov/,1905-03-02,,FD,https://www.courtlistener.com/api/rest/v4/courts/usdistct/,[],2025-02-16
